地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,燃えないごみ,びん・缶・ペットボトル,古紙・古布・雑がみ,危険有害ごみ,発泡スチロール
南部,クリーンプラザ,月 木,月2,金1 金3 金5,水2 水4,金4 *2,*1
北部,クリーンプラザ,月 木,金2,金1 金3 金5,火2 火4,金4 *2,*1
豊田A,クリーンプラザ,月 木,土2,土1 土3 土5,火2 火4,土4 *2,*1
豊田B,クリーンプラザ,月 木,土2,土1 土3 土5,水2 水4,土4 *2,*1
沖代,クリーンプラザ,火 金,水2,水1 水3 水5,土2 土4,土4 *2,*1
小楠,クリーンプラザ,火 金,月2,月1 月3 月5,木2 木4,月4 *2,*1
鶴居,クリーンプラザ,火 金,水2,水1 水3 水5,月2 月4,水4 *2,*1
如水,クリーンプラザ,水 土,月2,月1 月3 月5,木2 木4,月4 *2,*1
大幡,クリーンプラザ,水 土,火2,火1 火3 火5,金2 金4,火4 *2,*1
和田,クリーンプラザ,水 土,火2,火1 火3 火5,月2 月4,火4 *2,*1
今津・三保,クリーンプラザ,水 土,木2,木1 木3 木5,金2 金4,木4 *2,*1
三光,クリーンプラザ,水 土,月2,月1 月3,木2 木4,木3 *2,月4
本耶馬渓町,クリーンプラザ,火 金,木2,木1 木3,土2 土4,水3 *2,木4
山国町・耶馬渓町(城井・津民),クリーンプラザ,火 金,木2,木1 木3,水2 水4,土3 *2,木4
耶馬渓町,クリーンプラザ,水 土,月2,月1 月3,火2 火4,木3 *2,月4
