label,name,notice,furigana
びん・缶・ペットボトル,飲料びん,,い
びん・缶・ペットボトル,飲料缶,,い
びん・缶・ペットボトル,飲料用ペットボトル,かならず洗う,い
びん・缶・ペットボトル,缶詰缶,,か
びん・缶・ペットボトル,菓子缶,,か
びん・缶・ペットボトル,酒びん,,さ
びん・缶・ペットボトル,酒類用ペットボトル,かならず洗う,さ
びん・缶・ペットボトル,調味料などのびん,,ち
びん・缶・ペットボトル,調味料用ペットボトル,かならず洗う,ち
びん・缶・ペットボトル,ミルク缶,,み
びん・缶・ペットボトル,洋酒びん,,よ
危険有害ごみ,乾電池,,か
危険有害ごみ,ガス缶,必ず使い切る ガス抜きは火気の無い風通しの良い屋外で,が
危険有害ごみ,蛍光管,割れないように新聞紙等で包む,け
危険有害ごみ,小型充電式電池,,こ
危険有害ごみ,スプレー缶,必ず使い切る ガス抜きは火気の無い風通しの良い屋外で,す
危険有害ごみ,水銀入り体温計,,す
危険有害ごみ,ライター,,ら
古紙・古布・雑がみ,衣類,綿入りのものはリサイクルできません 虫食いのあるもの、汚れ・破れのひどいものは燃やすごみ,い
古紙・古布・雑がみ,お菓子の箱,無色透明の袋に入れて出してください,お
古紙・古布・雑がみ,カタログ,書籍・雑誌だけでまとめて紐で十字にくくって出してください 雨の日は濡れないように無色透明の袋に入れて出してください,か
古紙・古布・雑がみ,カーテン,綿入りのものはリサイクルできません,か
古紙・古布・雑がみ,紙袋,無色透明の袋に入れて出してください,か
古紙・古布・雑がみ,紙芯,無色透明の袋に入れて出してください,か
古紙・古布・雑がみ,教科書,書籍・雑誌だけでまとめて紐で十字にくくって出してください 雨の日は濡れないように無色透明の袋に入れて出してください,き
古紙・古布・雑がみ,雑誌,書籍・雑誌だけでまとめて紐で十字にくくって出してください 雨の日は濡れないように無色透明の袋に入れて出してください,ざ
古紙・古布・雑がみ,新聞,新聞紙だけでまとめて紐で十字にくくって出してください 雨の日は濡れないように無色透明の袋に入れて出してください,し
古紙・古布・雑がみ,食品の箱,無色透明の袋に入れて出してください,し
古紙・古布・雑がみ,タオル,,た
古紙・古布・雑がみ,段ボール,段ボールだけでまとめて紐で十字にくくって出してください 雨の日は濡れないように無色透明の袋に入れて出してください,だ
古紙・古布・雑がみ,Tシャツ,,て
古紙・古布・雑がみ,ティッシュの箱,無色透明の袋に入れて出してください,て
古紙・古布・雑がみ,ノート,書籍・雑誌だけでまとめて紐で十字にくくって出してください 雨の日は濡れないように無色透明の袋に入れて出してください,の
古紙・古布・雑がみ,はがき,無色透明の袋に入れて出してください,は
古紙・古布・雑がみ,プリント,無色透明の袋に入れて出してください,ぷ
古紙・古布・雑がみ,本,書籍・雑誌だけでまとめて紐で十字にくくって出してください 雨の日は濡れないように無色透明の袋に入れて出してください,ほ
古紙・古布・雑がみ,包装紙,無色透明の袋に入れて出してください,ほ
古紙・古布・雑がみ,ラップの芯,無色透明の袋に入れて出してください,ら
燃えないごみ,オーブントースター,,お
燃えないごみ,カミソリ,「キケン」と書いた紙袋に入れ、無色透明の袋に入れる,か
燃えないごみ,金具がついているもの,,か
燃えないごみ,ガラス類,,が
燃えないごみ,金属,,き
燃えないごみ,炊飯器,,す
燃えないごみ,電球,,で
燃えないごみ,陶器,,と
燃えないごみ,ナイフ,「キケン」と書いた紙袋に入れ、無色透明の袋に入れる,な
燃えないごみ,はさみ,「キケン」と書いた紙袋に入れ、無色透明の袋に入れる,は
燃えないごみ,包丁,「キケン」と書いた紙袋に入れ、無色透明の袋に入れる,ほ
燃えないごみ,ポット,,ぽ
燃やすごみ,おむつ,おむつは汚物を取り除きます,お
燃やすごみ,落ち葉,,お
燃やすごみ,貝殻,,か
燃やすごみ,カップラーメンの容器,,か
燃やすごみ,カイロ,,か
燃やすごみ,乾燥剤,,か
燃やすごみ,学生服,,が
燃やすごみ,木ぎれ,30cm以下に切って袋に入れる,き
燃やすごみ,小枝,30cm以下に切って袋に入れる,こ
燃やすごみ,ゴム製品,長靴・ホースなど,ご
燃やすごみ,作業着,,さ
燃やすごみ,CD,,し
燃やすごみ,食用油,紙や布などに染み込ませるか、固化剤で固めてください,し
燃やすごみ,洗剤容器,,せ
燃やすごみ,生ごみ,よく水を切って乾かしてください,な
燃やすごみ,納豆の容器,,な
燃やすごみ,発泡スチロール製の緩衝材,できるだけ小さく切る,は
燃やすごみ,皮革,革靴など,ひ
燃やすごみ,ビデオテープ,,び
燃やすごみ,ふた,金属でないもの,ふ
